id,calendarId,title,notes,done,type,createdAt
cmh9gtuqn0003jo04pj4dhp0a,cme9wqhpe0000ht8sr5o3a6wf,"JVA ENGINEERING CONTRACTOR, INC",,false,GUARDRAIL,2025-10-27T18:22:52.128Z
cmh9gxp2h000bjo04wvtp0dcm,cme9wqhpe0000ht8sr5o3a6wf,CENTRAL CIVIL:UNDERLINE PHASE 3-9 PO,"{""description"":""Pick up temp panels already installed"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,TEMP_FENCE,2025-10-27T18:25:51.401Z
cmh9gz55h000fjo04jem6x620,cme9wqhpe0000ht8sr5o3a6wf,WEEKLEY ASPHALT: T6601,,false,HANDRAIL,2025-10-27T18:26:58.887Z
cmh9hkf140003l204lleqm8ja,cme9wqhpe0000ht8sr5o3a6wf,DOWNRITE ENGINEERING:LITTLE ABNER TRAILER PARK,,false,TEMP_FENCE,2025-10-27T18:43:31.480Z
cmh9hlb1q0005l204zzgyucko,cme9wqhpe0000ht8sr5o3a6wf,"MASTER EXCAVATORS, INC.",,false,GUARDRAIL,2025-10-27T18:44:12.974Z
cmi4ynx0y0005jo04c59tt5ed,cme9wqhpe0000ht8sr5o3a6wf,OHLA: T4692,,false,HANDRAIL,2025-11-18T19:22:59.698Z
cmi4yo3hw0007jo04nips5c31,cme9wqhpe0000ht8sr5o3a6wf,MCM: Morningside Park,,false,HANDRAIL,2025-11-18T19:23:08.084Z
cmi60lnpu0001jv048lkxidce,cme9wqhpe0000ht8sr5o3a6wf,FLORIDA ENGINEERING: T4684,"{""description"":""Removal of guardrail. "",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-19T13:04:59.716Z
cmhm4grma0001l704kh14evgq,cme9wqhpe0000ht8sr5o3a6wf,"ARCHER WESTERN CONSTRUCTION , LLC:I95 EXPRESS LANES PH 3C - CONTRACT","{""description"":""Ramp V1"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-05T14:57:46.448Z
cmi60mc2p0003jv04qu6m4yqo,cme9wqhpe0000ht8sr5o3a6wf,OHLA: SOUTH CORRIDOR,"{""description"":""100' OF TL-2 WITH APPROACH TRANSITION AND PARALLEL"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-19T13:05:31.285Z
cmi3dqb6h0001l7046qihifdr,cme9wqhpe0000ht8sr5o3a6wf,"ARCHER WESTERN CONSTRUCTION , LLC:SR836/I395 BRIDGE - CONTRACT","{""description"":""Punchlist items"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-17T16:49:13.242Z
cmi3dslve0003l7043uey2x0v,cme9wqhpe0000ht8sr5o3a6wf,"ARCHER WESTERN CONSTRUCTION , LLC:I95 EXPRESS LANES PH 3C - CONTRACT","{""description"":""Griffin area 63' trailing anchorage and trailing transition\n"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-17T16:51:00.410Z
cmi3lopx00001jv04az67pfym,cme9wqhpe0000ht8sr5o3a6wf,Dadeland,,false,GUARDRAIL,2025-11-17T20:31:55.956Z
cmi62lfxi0001l504t1mvm8dd,cme9wqhpe0000ht8sr5o3a6wf,WEEKLEY ASPHALT: T6601,"{""description"":""Piperail"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-19T14:00:48.871Z
cmi6c8w7p0001jp0409t5encr,cme9wqhpe0000ht8sr5o3a6wf,"ARCHER WESTERN CONSTRUCTION , LLC:I95 EXPRESS LANES PH 3C - PO WORK","{""description"":""Repair SB I-95 outside should just north of Marina Mile\n26.08931077N 80.1685691W"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,GUARDRAIL,2025-11-19T18:30:59.605Z
cmi7ipm1r0001l404nf2pip24,cme9wqhpe0000ht8sr5o3a6wf,GGI Construction JV:T6413,"{""description"":""Fence grounding at Lubvitch"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,FENCE,2025-11-20T14:19:43.455Z
cmi8u94of0001jy04dftryfnk,cme9wqhpe0000ht8sr5o3a6wf,"RANGER CONSTRUCTION INDUSTRIES, INC","{""description"":""1000' of 6' removal \n1000' of 10' high black vinyl chain link"",""locate"":{""ticket"":"""",""requested"":"""",""expires"":"""",""contacted"":false}}",false,FENCE,2025-11-21T12:30:36.016Z