id,planId,bucketId,title,description,priority,progress,startAt,dueAt,completedAt,order,createdAt,updatedAt
cmhj7ueqx000fju04ehmi35ag,cmhbybvsq0000s9wnicnvj6md,cmhj7u83w000bju04prsvb115,T4551,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T14:09:03.273Z,2025-11-07T12:53:59.179Z
cmhjq1t7q0007l404x8r3a3cp,cmhbybvsq0000s9wnicnvj6md,cmhjq1jjy0001l404fjkck2yx,The Falls in Miami,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T22:38:41.702Z,2025-11-07T12:54:19.005Z
cmhor8j8w0007jl04ysigbh9o,cmhbybvsq0000s9wnicnvj6md,cmhor7xy50001jl045pzp8vzm,Black Point Guardrail,,IMPORTANT,NOT_STARTED,,,,100,2025-11-07T11:10:45.872Z,2025-11-09T23:21:17.112Z
cmhkkf4gx0005i804se43i5pj,cmhbybvsq0000s9wnicnvj6md,cmhkkez7m0001i804pju73vyn,Joel Blvd,,MEDIUM,NOT_STARTED,,,,100,2025-11-04T12:48:51.297Z,2025-11-04T12:48:53.318Z
cmhj4iepo0007la04vw94fv6l,cmhbybvsq0000s9wnicnvj6md,cmhj4i3hb0003la04xjq91kqi,Horizon North Apartments,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T12:35:44.508Z,2025-11-04T14:08:26.885Z
cmhj8jrye0009i6043vzf3q5g,cmhbybvsq0000s9wnicnvj6md,cmhj8joo30005i6042xeyf68l,Things for Jony to do,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T14:28:46.791Z,2025-11-04T15:32:19.014Z
cmhja7x4z000bl104uqed5c64,cmhbybvsq0000s9wnicnvj6md,cmhja7s2c0007l1049icnzefn,Things to add,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T15:15:32.868Z,2025-11-04T15:32:45.255Z
cmhj8qf060007jo04pvpy9cla,cmhbybvsq0000s9wnicnvj6md,cmhj8q6gx0003jo04ilx4w50v,CDL License,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T14:33:56.599Z,2025-11-04T17:51:50.482Z
cmhhz8lx50007s9c1rjqia099,cmhbybvsq0000s9wnicnvj6md,cmhhz8g3x0003s9c17319v6c6,Sky Harbour,,MEDIUM,IN_PROGRESS,,,,100,2025-11-02T17:20:23.034Z,2025-11-04T17:51:54.116Z
cmhhyluys000js9dg2xls1ri7,cmhbybvsq0000s9wnicnvj6md,cmhbybvv70002s9wnyl652n5m,E8T44,,MEDIUM,NOT_STARTED,,,,100,2025-11-02T17:02:41.668Z,2025-11-04T17:51:54.530Z
cmhjaal4v0003jm044gywnvwv,cmhbybvsq0000s9wnicnvj6md,cmhj6uvq90003ie04d7mzo6mn,I-95 Express lanes: Griffin,,MEDIUM,IN_PROGRESS,,,,200,2025-11-03T15:17:37.280Z,2025-11-04T17:51:55.973Z
cmhj6v1co0007ie04qyfmkg3a,cmhbybvsq0000s9wnicnvj6md,cmhj6uvq90003ie04d7mzo6mn,836 Signature Bridge,,MEDIUM,NOT_STARTED,2025-11-03T00:00:00.000Z,,,100,2025-11-03T13:41:32.953Z,2025-11-07T11:10:27.696Z
cmhja806y000fl1044xw7qzfg,cmhbybvsq0000s9wnicnvj6md,cmhja7s2c0007l1049icnzefn,Things to fix,,MEDIUM,NOT_STARTED,,,,200,2025-11-03T15:15:36.826Z,2025-11-03T15:15:55.697Z
cmhj4ufmu0009jp04g60xle0k,cmhbybvsq0000s9wnicnvj6md,cmhj4t6z20005jp046voxy9q4,Tech Village,,MEDIUM,NOT_STARTED,,,,100,2025-11-03T12:45:05.575Z,2025-11-04T11:25:04.823Z