id,name,customerId,createdAt,updatedAt,description,teamId,updatedById
legacy_cf42e7ae55f63c0d62ef4cda157da8b2,Joel Blvd,cmfg5349f01k2ovbopo6afzjv,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_3a360c450e96b84461027accb78565a1,NDWWTP,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_c28f7a8c72cec50815ea7fbb26abeef2,Alligator Alcatraz,cmfg52lfb01auovboe1hrcvzn,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_85753eb73b17728b49f5a3a95fc94d9d,TRAZ POWELL STADIUM,cmfg53u7d01wnovbo1r7i4asi,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_fc9dc9c0415aff325ca238d0437b6538,Bridge,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_6954cfbf9c524f9a6794e77600327fac,NV2A,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_53efbecace4a683ffb31ed1b67766aaf,Port Everglades,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_6d64c8f19c822a8b84031724d4d18bd5,Solemia/Oleta,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_cf573c647f0af99736558ece9c25f384,DOWNRITE ENGINEERING,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_910ac04c4fd8bdd9ed2cec729f103310,E4X25,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_149c3f31515dae52fb8936726c487501,SUNTRAX PH 1A,cmfg53chb01o2ovboyuih2zkg,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_4bff40163ae09c1eced45a4be4a1f698,Sky Harbour,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_a7f5b04c40f741863bcb30eb85dd89b2,E8T44,cmfg51vfh00ybovbonzkclynq,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_bfe0323a243c58cc9eae7680e0c9fcbc,Master Excavators,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_b671cb08c41c49e9efc10ecd56b1ff82,OPLH,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_c72e090e9409a8bfe583bcc9e9fd36c6,SKY HARBOR PHASE II,cmfg502vo0030ovbotu9sishl,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_febf3647399a1b617354549f11f8713f,Boca Airport,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_da7b7985d094a0768f83ddde48b8a4aa,I95 EXPRESS LANES PH 3C - PO WORK,cmfg507a00055ovboti7lg479,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_321e5a3e5e4c1cb05950a573e72ba78b,OZINGA,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_2fe40e2a45b6a613fc8d08e3d55c9d41,SOLE MIA PROPERTY OWNERS ASSOCIATION INC,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_2fa0c8945ff35ff2f1dc4d6bc4c20447,I-95 & Downrite,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_af95a4ccf042c08ab85e45a780a52994,268th St,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_50f207da50349403e56a414ff996ce67,Downrite,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_2d816e03445cfea89f1645c438019aff,Labor Day,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_62df8c911819bedb4574185ce40f4abf,T6604,cmfg51nlm00uhovbo7hi73ail,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_40b817fdbe36af0f98b8865a9ce17d37,TRIDENT TRUCKING,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_e8323d6f9d06b16c7ffc3578e7599441,Trident Trucking,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_ff20a1dcd315c62e39ab6c737eb2321a,Coral Gables Temp Fence,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_8e1d09b99d096ba9196490a6eb3bd527,Jaxi *Not confirmed*,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_8de258947383b25920a40408b8f7fb68,TRANS FLORIDA DEVELOPMENT,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_a5a5a675a45b356ee1d0a10ae24eca86,T6601,cmfg549rc0248ovbojvcd162r,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_6ef973c2e6904f8521a782cc108065e6,T6413,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_da68250d8c262715b23eacd773c8fc0a,I95 EXPRESS LANES PH 3C - CONTRACT,cmfg507a00055ovboti7lg479,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_51592fc304d288d32cec2fed0bf3c20b,Horse Power Eletric ,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_f582262c7a036c0d96807361db996c00,I-95,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_94f1105c0671a47b9ffe0b0a57399e5d,E8T81,cmfg53chb01o2ovboyuih2zkg,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_4c9811e5d468b3cd80792a2cb74b9479,Underline 3-9 Fence Repair,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_a122a9fcaaef3e1fdc044bcae33a6ec7,T6413,cmfg51q8u00vsovbofsdx0vvn,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_e716383e74fee631f2c0527f06aaf7d7,DP Development,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_812ccd1385ccc37944f4999be6480457,Halley Engineering E8T44,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_9689dad6f9f45f49e698a3be1f3e0e46,T4551,cmfg522iw011sovboisw3etem,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_ac0c7c72893492df2af2c842c70fbba5,T4682,cmfg5349f01k2ovbopo6afzjv,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
legacy_e5d3bc9bbf6eeb81dd53bd1a19c2043c,FERREIRA CONSTRUCTION COMPANY,cust_legacy_default,2025-10-27T17:57:11.678Z,2025-10-27T17:57:11.678Z,,,
cmhie4ibd0001s9etik78k3jq,BAPTIST HOSPITAL MAIN,cmfg50j4n00awovbog71vqq76,2025-11-03T00:17:05.977Z,2025-11-03T00:17:05.977Z,,,
cmhie4jpd0003s9etavzxof17,ASPEN ESTATES,cmfg543c00213ovbo400bh0jx,2025-11-03T00:17:07.777Z,2025-11-03T00:17:07.777Z,,,
cmhie4jz20005s9etlo55y6d1,NDWWTP,cmfg50lym00c9ovbo0uvappdp,2025-11-03T00:17:08.127Z,2025-11-03T00:17:08.127Z,,,
cmhie4k5g0007s9etwo1kh8d8,SR836/I395 BRIDGE - CONTRACT,cmfg507a00055ovboti7lg479,2025-11-03T00:17:08.357Z,2025-11-03T00:17:08.357Z,,,
cmhiei5wy0001s9qayz1sjlf3,General,cmfg50ps200e4ovboaf3misbq,2025-11-03T00:27:43.090Z,2025-11-03T00:27:43.090Z,,,
cmhiei6yn0003s9qazuxpf9pp,General,cmfg53rwm01vmovboj2ye1kju,2025-11-03T00:27:44.447Z,2025-11-03T00:27:44.447Z,,,
cmhiei7qg0005s9qaljygwgkn,General,cmfg514pw00lbovbox22kabex,2025-11-03T00:27:45.448Z,2025-11-03T00:27:45.448Z,,,
cmhiei7xt0007s9qa2vw6v7ap,General,cmfg53akw01n4ovbo7fb56v1g,2025-11-03T00:27:45.713Z,2025-11-03T00:27:45.713Z,,,
cmhiei87w0009s9qama4s2sxm,General,cmfg543c00213ovbo400bh0jx,2025-11-03T00:27:46.076Z,2025-11-03T00:27:46.076Z,,,
cmhiei8hw000bs9qam5vwct16,General,cmfg52lv401b2ovbo1shxtwus,2025-11-03T00:27:46.436Z,2025-11-03T00:27:46.436Z,,,
cmhiei9b9000ds9qa0d0pxkc8,General,cmfg5398j01mgovboiqiely8z,2025-11-03T00:27:47.493Z,2025-11-03T00:27:47.493Z,,,
cmhkohuo70001l504g5ww4myh,PORT EVERGLADES PO,cmfg52j2d019qovboo85cxlu6,2025-11-04T14:42:57.030Z,2025-11-04T14:42:57.030Z,,,
cmhkpb8y30001jr04fbmidnnr,MOUNT SINAI,cmfg53akw01n4ovbo7fb56v1g,2025-11-04T15:05:48.553Z,2025-11-04T15:05:48.553Z,,,
cmhlzxi5f0001kz048iwzsjgo,E8U08,cmfg52hvs0196ovbo0d5fv17x,2025-11-05T12:50:49.250Z,2025-11-05T12:50:49.250Z,,,
cmhm02s620005kz04rb5ehmgg,T4551 PO,cmfg522iw011sovboisw3etem,2025-11-05T12:54:55.514Z,2025-11-05T12:54:55.514Z,,,
cmhnknk9y0001jv04hmt0sm0f,UNDERLINE PHASE 3-9 PO,cmfg50lym00c9ovbo0uvappdp,2025-11-06T15:18:43.557Z,2025-11-06T15:18:43.557Z,,,
cmhnu76d00001lh04k42y8ne7,MEDLEY LS,cmfg53u7d01wnovbo1r7i4asi,2025-11-06T19:45:55.187Z,2025-11-06T19:45:55.187Z,,,
cmhos4mqg0001l104ly65sb5z,TRAZ POWELL,cmfg53u7d01wnovbo1r7i4asi,2025-11-07T11:35:43.384Z,2025-11-07T11:35:43.384Z,,,
cmhoy27020005lg04rzik41r9,SR836/I395 BRIDGE - PO,cmfg507a00055ovboti7lg479,2025-11-07T14:21:47.378Z,2025-11-07T14:21:47.378Z,,,
cmhsd5fvn0001s9pgcaqxpnh9,General,cmfg503fz003aovbofntxmkpw,2025-11-09T23:47:31.618Z,2025-11-09T23:47:31.618Z,,,
cmhsdhhps0005s9pg8knxx8xy,BLACK POINT,cmfg53akw01n4ovbo7fb56v1g,2025-11-09T23:56:53.872Z,2025-11-09T23:56:53.872Z,,,
cmht6bk300005l704lt3vb9qv,C100-A,cmfg525qq013dovbo62jptkc9,2025-11-10T13:24:05.868Z,2025-11-10T13:24:05.868Z,,,
cmht6lynu000vky0434p8yftl,E8U70,cmfg543620210ovboooxflcva,2025-11-10T13:32:11.322Z,2025-11-10T13:32:11.322Z,,,
cmhta3dmx000pla044335hvdq,2610 NW 20 CT,cmfg517w000mtovbo0dhb43xs,2025-11-10T15:09:42.730Z,2025-11-10T15:09:42.730Z,,,
seed-project-1,FDOT â€“ Sample Corridor Improvements,seed-company-1,2025-11-12T01:14:29.713Z,2025-11-12T01:14:29.713Z,Sample corridor improvements for seeding,,
cmhxlvx400005jp045aqd24dc,General,cmfg517w000mtovbo0dhb43xs,2025-11-13T15:50:54.817Z,2025-11-13T15:50:54.817Z,,,
cmhyua6jt0001l504is2hua88,E8U08 PO,cmfg52hvs0196ovbo0d5fv17x,2025-11-14T12:33:43.337Z,2025-11-14T12:33:43.337Z,,,
cmhzi8wpc0009l504e3vyks4p,BLUE TANGO,cmfg514pw00lbovbox22kabex,2025-11-14T23:44:34.704Z,2025-11-14T23:44:34.704Z,,,
cmi3bt8v1000djs0401pol4gl,E6M92,cmfg5398j01mgovboiqiely8z,2025-11-17T15:55:30.973Z,2025-11-17T15:55:30.973Z,,,
cmi5375520001l8046k6u4jgu,General,cmfg52867014kovboudh136ci,2025-11-18T21:29:55.143Z,2025-11-18T21:29:55.143Z,,,
cmi61jdvu0001jy04633yi0o9,T4684,cmfg51i0r00rqovboh0cznxqu,2025-11-19T13:31:13.290Z,2025-11-19T13:31:13.290Z,,,
cmi6ekcf50009l4041l50dggt,FNF,cmfg514pw00lbovbox22kabex,2025-11-19T19:35:53.057Z,2025-11-19T19:35:53.057Z,,,
cmi7mm6490011jr043g9il922,SOUTH CORRIDOR,cmfg5349f01k2ovbopo6afzjv,2025-11-20T16:09:01.305Z,2025-11-20T16:09:01.305Z,,,