id,year,cutoff_date,label,created_by,created_at,updated_at
cmgf3pret0000if04rgsquhen,2025,2025-01-19T00:00:00.000Z,,,2025-10-06T12:22:40.901Z,2025-10-06T12:22:40.901Z
cmgf3prgi0001if04mbc99lyl,2025,2025-02-16T00:00:00.000Z,,,2025-10-06T12:22:40.963Z,2025-10-06T12:22:40.963Z
cmgf3prgn0002if047fbsrp5h,2025,2025-03-16T00:00:00.000Z,,,2025-10-06T12:22:40.967Z,2025-10-06T12:22:40.967Z
cmgf3prgq0003if040uogvko5,2025,2025-04-13T00:00:00.000Z,2nd Sunday,,2025-10-06T12:22:40.971Z,2025-10-06T12:22:40.971Z
cmgf3prgu0004if04d13t8vmq,2025,2025-05-18T00:00:00.000Z,,,2025-10-06T12:22:40.974Z,2025-10-06T12:22:40.974Z
cmgf3prgy0005if04x91qekd5,2025,2025-06-08T00:00:00.000Z,2nd Sunday,,2025-10-06T12:22:40.978Z,2025-10-06T12:22:40.978Z
cmgf3prh10006if04gspj911r,2025,2025-07-13T00:00:00.000Z,2nd Sunday,,2025-10-06T12:22:40.982Z,2025-10-06T12:22:40.982Z
cmgf3prh60007if04t68ia3kp,2025,2025-08-17T00:00:00.000Z,,,2025-10-06T12:22:40.986Z,2025-10-06T12:22:40.986Z
cmgf3prha0008if04hw6l2l1w,2025,2025-09-21T00:00:00.000Z,,,2025-10-06T12:22:40.990Z,2025-10-06T12:22:40.990Z
cmgf3prhd0009if04khk76033,2025,2025-10-19T00:00:00.000Z,,,2025-10-06T12:22:40.994Z,2025-10-06T12:22:40.994Z
cmgf3prhh000aif049nz6vizv,2025,2025-11-16T00:00:00.000Z,,,2025-10-06T12:22:40.998Z,2025-10-06T12:22:40.998Z
cmgf3prhm000bif04cl8ih38g,2025,2025-12-14T00:00:00.000Z,2nd Sunday,,2025-10-06T12:22:41.002Z,2025-10-06T12:22:41.002Z